#X	Z	log_Rho	Rho
0	0	2.31	205.13	
0	-0.50	2.31	204.79	
0	-1.02	2.31	204.04	
0	-1.58	2.31	203.36	
0	-2.16	2.31	203.07	
0	-2.76	2.31	203.43	
0	-3.40	2.31	204.71	
0	-4.07	2.32	207.17	
0	-4.77	2.32	211.05	
0	-5.51	2.34	216.55	
0	-6.29	2.35	223.77	
0	-7.10	2.37	232.69	
0	-7.96	2.39	243.10	
0	-8.86	2.41	254.63	
0	-9.80	2.43	266.62	
0	-10.79	2.44	278.16	
0	-11.83	2.46	288.14	
0	-12.92	2.47	295.24	
0	-14.07	2.47	298.17	
0	-15.27	2.47	295.86	
0	-16.53	2.46	287.66	
0	-17.86	2.44	273.53	
0	-19.25	2.40	254.10	
0	-20.72	2.36	230.58	
0	-22.25	2.31	204.53	
0	-23.86	2.25	177.59	
0	-25.56	2.18	151.24	
0	-27.33	2.10	126.61	
0	-29.20	2.02	104.45	
0	-31.16	1.93	85.11	
0	-33.22	1.84	68.67	
0	-35.38	1.74	54.96	
0	-37.65	1.64	43.73	
0	-40.03	1.54	34.65	
0	-42.53	1.44	27.39	
0	-45.16	1.34	21.65	
0	-47.92	1.23	17.15	
0	-50.81	1.14	13.66	
0	-53.85	1.04	10.99	
0	-57.05	0.97	9.44	
0	-60.40	0.95	9.00	
2.50	0	2.31	204.17	
2.50	-0.50	2.31	203.83	
2.50	-1.02	2.31	203.08	
2.50	-1.58	2.31	202.34	
2.50	-2.16	2.31	201.93	
2.50	-2.76	2.31	202.13	
2.50	-3.40	2.31	203.23	
2.50	-4.07	2.31	205.51	
2.50	-4.77	2.32	209.25	
2.50	-5.51	2.33	214.67	
2.50	-6.29	2.35	221.88	
2.50	-7.10	2.36	230.87	
2.50	-7.96	2.38	241.47	
2.50	-8.86	2.40	253.26	
2.50	-9.80	2.42	265.61	
2.50	-10.79	2.44	277.60	
2.50	-11.83	2.46	288.08	
2.50	-12.92	2.47	295.70	
2.50	-14.07	2.48	299.14	
2.50	-15.27	2.47	297.25	
2.50	-16.53	2.46	289.35	
2.50	-17.86	2.44	275.37	
2.50	-19.25	2.41	255.95	
2.50	-20.72	2.37	232.32	
2.50	-22.25	2.31	206.07	
2.50	-23.86	2.25	178.89	
2.50	-25.56	2.18	152.30	
2.50	-27.33	2.11	127.45	
2.50	-29.20	2.02	105.11	
2.50	-31.16	1.93	85.63	
2.50	-33.22	1.84	69.08	
2.50	-35.38	1.74	55.29	
2.50	-37.65	1.64	44.00	
2.50	-40.03	1.54	34.87	
2.50	-42.53	1.44	27.58	
2.50	-45.16	1.34	21.81	
2.50	-47.92	1.24	17.29	
2.50	-50.81	1.14	13.78	
2.50	-53.85	1.04	11.09	
2.50	-57.05	0.98	9.51	
2.50	-60.40	0.96	9.07	
5	0	2.30	200.63	
5	-0.50	2.30	200.51	
5	-1.02	2.30	200.16	
5	-1.58	2.30	199.67	
5	-2.16	2.30	199.21	
5	-2.76	2.30	199.08	
5	-3.40	2.30	199.65	
5	-4.07	2.30	201.35	
5	-4.77	2.31	204.55	
5	-5.51	2.32	209.57	
5	-6.29	2.34	216.59	
5	-7.10	2.35	225.65	
5	-7.96	2.37	236.59	
5	-8.86	2.40	249.03	
5	-9.80	2.42	262.33	
5	-10.79	2.44	275.55	
5	-11.83	2.46	287.46	
5	-12.92	2.47	296.64	
5	-14.07	2.48	301.59	
5	-15.27	2.48	301.02	
5	-16.53	2.47	294.09	
5	-17.86	2.45	280.65	
5	-19.25	2.42	261.32	
5	-20.72	2.38	237.39	
5	-22.25	2.32	210.59	
5	-23.86	2.26	182.72	
5	-25.56	2.19	155.43	
5	-27.33	2.11	129.94	
5	-29.20	2.03	107.06	
5	-31.16	1.94	87.16	
5	-33.22	1.85	70.28	
5	-35.38	1.75	56.25	
5	-37.65	1.65	44.78	
5	-40.03	1.55	35.52	
5	-42.53	1.45	28.12	
5	-45.16	1.35	22.27	
5	-47.92	1.25	17.68	
5	-50.81	1.15	14.11	
5	-53.85	1.06	11.37	
5	-57.05	0.99	9.74	
5	-60.40	0.97	9.27	
